university,career,inscription_date,name,gender,age,postal_code_location,email
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,21/Jan/08,Randy-williams,M,47/May/17,"00397-todd-terrace-suite-404
harrisberg,-sc-88355",Joshua07@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Oct/04,Nichole-stanley,F,90/Feb/07,"9582-richard-extension-suite-382
mitchellchester,-or-59998",Dbutler@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,20/Oct/13,Christine-davis,F,10/Apr/26,"4846-erin-keys
north-robert,-nd-13339",Marvin72@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Nov/22,Kevin-weaver,M,60/Aug/22,"4583-rodriguez-island-apt.-417
shawmouth,-ok-67271",Millererika@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-psicología,21/Jan/30,David-oliver,M,43/Feb/28,"51583-timothy-way
hansonside,-ct-61984",Jorge05@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-artes,20/Oct/12,Alyssa-callahan,F,83/Nov/06,"882-amanda-track-apt.-695
port-crystalville,-dc-80395",Jodi34@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,20/Nov/13,Tracy-pope,F,42/Oct/18,"952-christopher-land
west-mary,-ma-02385",Jamesgentry@hotmail.com
-universidad-abierta-interamericana,Bioquímica,21/Jan/26,Shawn-fleming,M,73/Oct/03,"1239-scott-run
west-james,-pa-12673",Betty11@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Sep/21,Brenda-santana,F,90/May/19,"38828-penny-motorway-suite-144
south-jessicaton,-sc-18378",James37@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,21/Jan/21,Tyrone-roberts,M,04/Jan/26,"23357-hall-mountains
charlesland,-wy-26886",Millerrandall@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Dec/20,Brandon-carter,M,86/May/30,"3007-austin-mill
harrisborough,-tx-54035",Reedaustin@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,20/Nov/13,Henry-edwards,M,48/Nov/28,"7895-walker-green-suite-317
martinezton,-mi-10737",Garyball@gmail.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Sep/17,Donna-sparks,F,77/Feb/06,"77680-wilkinson-rest-apt.-990
lake-alejandra,-wv-23884",Hrodriguez@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-psicología,20/Sep/12,Brandy-gibson,F,19/Mar/18,"756-davis-lights
christinehaven,-nc-79945",Erinjackson@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,21/Jan/04,Robert-price,M,99/Mar/13,"51064-anthony-way-apt.-898
elizabethport,-ca-98516",Sheparddiane@hotmail.com
-universidad-abierta-interamericana,Ingeniería-mecánica,20/Dec/14,Johnny-williams,M,65/Oct/19,"6514-hill-lodge
bradleyland,-wi-74050",Andreaboyd@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,20/Dec/11,Lisa-green,F,41/Aug/03,"63778-david-glen-suite-481
south-michael,-va-76797",Hudsonbrianna@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,21/Jan/24,David-chung,M,84/Sep/29,"Psc-2301,-box-3564
apo-ap-65768",Johnsonbrandon@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/30,Jennifer-ramirez,F,22/Jul/17,"4718-jonathan-motorway-apt.-299
jacobfort,-pa-78768",Woodangelica@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,20/Nov/28,Jose-white,M,58/Feb/10,"2545-gardner-fords-suite-959
south-ricardo,-ct-99548",Jenniferbrown@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Dec/29,Drew-espinoza,M,93/Jul/10,"60621-kimberly-parks
south-charlestown,-ga-45904",Jmiller@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,21/Jan/01,Dale-smith,M,33/Mar/07,"Unit-4241-box-7385
dpo-ap-27881",Michaeljohnson@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Oct/10,Lynn-sharp,F,20/Oct/05,"7550-davis-course-apt.-694
leeshire,-nv-41446",Tamara73@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-administración-,20/Oct/29,Julie-vargas,F,63/Dec/11,"328-lewis-mill-apt.-877
jamesport,-tn-01087",Iochoa@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,20/Sep/22,Benjamin-curry,M,05/May/20,"15868-sullivan-spurs-apt.-822
ryanfort,-va-00883",Rebekah32@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,20/Nov/13,Rhonda-guerrero,F,21/Nov/28,"48572-dylan-dam
russellmouth,-va-16523",Isabelwilliams@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/16,Katie-williams,F,94/Aug/18,"5317-denise-shoal
new-amytown,-ut-27022",Michaelthomas@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Nov/23,Jennifer-king,F,17/Apr/04,"702-john-villages-apt.-529
lisaview,-vt-47889",Daniel32@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Dec/28,Cynthia-riley,F,53/Mar/23,"Unit-7824-box-1800
dpo-aa-70773",Erica19@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Oct/13,Mr.-daniel-knight,M,63/May/31,"Usnv-hoffman
fpo-ae-16438",Darrylhogan@gmail.com
-universidad-abierta-interamericana,Farmacia,20/Dec/15,Melanie-fox,F,61/Aug/22,"71710-zachary-mission
martinborough,-ga-67291",Hhays@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,20/Dec/15,Brenda-schultz,F,44/May/26,"111-sexton-park
casechester,-ri-79831",Gwhite@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-gestión-de-agroalimentos,21/Jan/31,Christopher-smith,M,06/Jul/01,"7070-maria-trace-apt.-547
east-darren,-ky-85082",Jgross@gmail.com
-universidad-abierta-interamericana,Actuario-,20/Nov/06,Kathleen-lee,F,19/Sep/07,"Psc-2041,-box-7978
apo-ap-30234",Linda06@yahoo.com
-universidad-abierta-interamericana,Agronomía,21/Jan/09,Dale-rodriguez,M,14/Apr/29,"4870-michael-inlet-suite-130
east-melanie,-or-29875",Howellmichael@yahoo.com
-universidad-abierta-interamericana,Actuario-,20/Sep/16,Kristina-williams,F,23/Oct/25,"5024-sheryl-mission
nicolefort,-or-65571",Stephanie11@gmail.com
-universidad-abierta-interamericana,Actuario-,20/Oct/03,Steven-smith,M,49/Dec/07,"49558-bradley-ranch
lake-alisontown,-in-49412",Jose07@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,20/Nov/24,Angela-davis,F,78/Jun/24,"334-liu-expressway-apt.-244
oscarfurt,-al-62053",Terrimadden@gmail.com
-universidad-abierta-interamericana,Diseño-industrial,20/Oct/02,Tracy-mclean,F,91/Mar/01,"Psc-8538,-box-8352
apo-ap-80803",Brownjames@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Sep/05,Edgar-leach,M,96/Nov/29,"6927-allen-pine
michaelview,-wy-28801",Michael26@gmail.com
-universidad-abierta-interamericana,Bioquímica,20/Dec/16,Katherine-vega,F,57/Aug/13,"737-harold-center-suite-826
shelbystad,-nd-89722",Sarah28@yahoo.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Dec/20,Joshua-wheeler,M,76/Dec/12,"462-garrett-pike-apt.-829
evansborough,-fl-73273",Fgarza@yahoo.com
-universidad-abierta-interamericana,Agronomía,21/Jan/23,Stephanie-johnson,F,23/Jul/12,"260-chandler-courts
spenceville,-nh-20183",Hilldanielle@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Nov/18,Jessica-lewis,F,08/Jan/04,"74658-deborah-lodge
east-shannon,-de-30937",Jenkinssusan@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,20/Nov/22,Anna-miles,F,10/Jul/14,"1926-joshua-street
jasonmouth,-or-68288",Hollypace@hotmail.com
-universidad-abierta-interamericana,Ingeniería-electrónica,20/Sep/10,Morgan-solomon,F,48/Aug/12,"3054-nunez-centers
jillmouth,-oh-45197",Lawrence30@gmail.com
