,university,career,inscription_date,name,gender,age,postal_code,email
0,universidad-j.-f.-kennedy,licenciatura-en-ciencias-antropológicas,20-Sep-20,terry-mooney,m,21-Jun-15,2801,joshua50@hotmail.com
1,universidad-j.-f.-kennedy,ciencias-veterinarias,19-Dec-20,sherry-smith,f,08-Oct-26,3304,sberry@gmail.com
2,universidad-j.-f.-kennedy,licenciatura-en-administración-,20-Dec-20,jane-brewer,f,20-Mar-16,5575,jeremy05@yahoo.com
3,universidad-j.-f.-kennedy,contador-público-,20-Oct-20,vincent-king,m,67-May-19,2821,rebeccawilliams@gmail.com
4,universidad-j.-f.-kennedy,licenciatura-en-ciencias-antropológicas,21-Nov-20,julian-bell,m,15-Oct-27,6018,hermansarah@hotmail.com
5,universidad-j.-f.-kennedy,licenciatura-en-artes,21-Oct-20,lauren-shaw,f,08-Sep-09,9210,mcarter@yahoo.com
6,universidad-j.-f.-kennedy,ciencias-veterinarias,20-Sep-20,steven-wood,m,72-Feb-07,1816,kentross@yahoo.com
7,universidad-j.-f.-kennedy,licenciatura-en-ciencias-ambientales,19-Oct-20,ricky-jones,m,52-Sep-12,6369,hannah53@hotmail.com
8,universidad-j.-f.-kennedy,actuario-,21-Oct-20,barbara-mason,f,54-Mar-13,1713,greenantonio@yahoo.com
9,universidad-j.-f.-kennedy,licenciatura-en-producción-de-bioimagenes,21-Dec-20,nicholas-silva,m,94-Oct-21,5460,vcollins@gmail.com
10,universidad-j.-f.-kennedy,ingeniería-mecánica,19-Nov-20,lisa-lee,f,09-Oct-09,3466,hicksheather@gmail.com
11,universidad-j.-f.-kennedy,licenciatura-en-administración-,19-Nov-20,sherri-elliott,f,53-Oct-01,8521,christine16@gmail.com
12,universidad-j.-f.-kennedy,bioquímica,20-Nov-20,alicia-smith,f,38-Jun-08,5549,mistymontes@yahoo.com
13,universidad-j.-f.-kennedy,licenciatura-en-sociología-,20-Dec-20,ashley-hill,f,19-Apr-20,7513,paulbray@gmail.com
14,universidad-j.-f.-kennedy,licenciatura-en-planificación-y-diseño-del-paisaje,21-Dec-20,dana-brown,f,18-Jun-17,2257,peter08@yahoo.com
15,universidad-j.-f.-kennedy,diseño-industrial,20-Oct-20,katherine-mcdonald,f,08-Apr-05,5300,tiffanyweaver@gmail.com
16,universidad-j.-f.-kennedy,licenciatura-en-ciencia-y-tecnología-de-alimentos,20-Oct-20,jeffrey-wilson,m,61-Jul-20,3123,wolfnathan@yahoo.com
17,universidad-j.-f.-kennedy,licenciatura-en-ciencias-antropológicas,21-Dec-20,jonathan-morgan,m,13-Sep-04,3137,hburnett@gmail.com
18,universidad-j.-f.-kennedy,ingeniería-electrónica,21-Oct-20,dr.-william-gomez-dds,m,19-Oct-09,8366,youngzachary@hotmail.com
19,universidad-j.-f.-kennedy,ingeniería-electrónica,19-Dec-20,jessica-moss,f,18-Jan-31,6513,lknox@yahoo.com
20,universidad-j.-f.-kennedy,ciencias-veterinarias,20-Sep-20,larry-conner,m,36-Jul-22,1923,trobbins@yahoo.com
21,universidad-j.-f.-kennedy,actuario-,21-Jan-21,jordan-schmidt,f,07-May-08,3712,edwardsjoseph@yahoo.com
22,universidad-j.-f.-kennedy,licenciatura-en-artes,21-Dec-20,tracy-moore,f,77-Jan-28,6453,davidgrant@hotmail.com
23,universidad-j.-f.-kennedy,licenciatura-en-ciencias-geológicas,20-Oct-20,brenda-deleon,f,64-Nov-03,3136,charlesbray@hotmail.com
24,universidad-j.-f.-kennedy,licenciatura-en-producción-de-bioimagenes,19-Oct-20,lucas-huynh,m,57-Dec-11,4650,jessica12@yahoo.com
25,universidad-j.-f.-kennedy,licenciatura-en-ciencias-ambientales,21-Sep-20,stephanie-cummings,f,31-Feb-26,6451,mary46@hotmail.com
26,universidad-j.-f.-kennedy,farmacia,20-Oct-20,gavin-miller,m,07-Jan-27,3409,theresawilson@gmail.com
27,universidad-j.-f.-kennedy,diseño-de-imagen-y-sonido,19-Oct-20,eric-rivera,m,53-Jun-03,3420,santiagorobert@hotmail.com
28,universidad-j.-f.-kennedy,licenciatura-en-musicoterapia,21-Jan-21,benjamin-koch,m,05-Oct-14,6553,qleach@gmail.com
29,universidad-j.-f.-kennedy,licenciatura-en-ciencia-política-,21-Jan-21,william-lynch,m,01-Oct-25,7263,vanessa46@yahoo.com
30,universidad-j.-f.-kennedy,licenciatura-en-ciencias-biológicas,21-Dec-20,tyler-mason,m,31-Nov-03,2635,jensendonald@yahoo.com
31,universidad-j.-f.-kennedy,licenciatura-en-sociología-,19-Nov-20,christopher-king,m,31-Sep-26,3470,ericjones@hotmail.com
32,universidad-j.-f.-kennedy,licenciatura-en-ciencias-ambientales,20-Dec-20,alison-cox,f,21-Jul-01,4624,lisa59@gmail.com
33,universidad-j.-f.-kennedy,ingeniería-en-informática,19-Nov-20,gina-huff-dds,f,43-Jul-27,3370,wcain@hotmail.com
34,universidad-j.-f.-kennedy,licenciatura-en-sociología-,20-Dec-20,larry-wilson,m,20-Nov-17,4186,troman@gmail.com
