university,career,inscription_date,name,gender,age,postal_code,location,email
Universidad nacional de la pampa,Licenciatura en musicoterapia,22/01/2021,Brett roberts,M,17/08/2000,3232,"80496 haney wells
christinafort, la 27544",Deannalarson@hotmail.com
Universidad nacional de la pampa,Licenciatura en gestión de agroalimentos,14/01/2021,Mckenzie mclaughlin,F,20/12/2006,1629,"899 edwards stream
sextonburgh, or 35124",Turnerjames@hotmail.com
Universidad nacional de la pampa,Ciencias veterinarias,26/01/2021,Bryan kane,M,22/09/2010,3252,"20888 buck vista
lake katrinaview, il 21623",Annaglass@yahoo.com
Universidad nacional de la pampa,Farmacia,29/12/2020,Chad richardson,M,31/03/1977,3185,"32801 nathan square
obrienville, ak 78395",Jacksonmichelle@hotmail.com
Universidad nacional de la pampa,Licenciatura en sociología ,03/09/2020,Cassandra odonnell,F,20/07/1955,7245,"073 lisa curve apt. 256
port marissafort, ca 25944",Jamesthompson@gmail.com
Universidad nacional de la pampa,Ingeniería en informática,20/11/2020,Jeffrey rivera,M,23/11/1919,8206,"8434 williams park suite 378
east anthony, wi 90718",Kristaaustin@hotmail.com
Universidad nacional de la pampa,Ingeniería en informática,23/10/2020,Ann schmidt,F,20/09/1944,2255,"18533 travis ports
south kimberlyburgh, wy 02134",Michael73@gmail.com
Universidad nacional de la pampa,Actuario ,28/09/2020,Gabrielle johnson,F,18/07/1997,3071,"466 peterson plain
rodriguezland, in 95394",Ipage@hotmail.com
Universidad nacional de la pampa,Diseño de imagen y sonido,22/10/2020,Samuel tate,M,13/04/1927,2253,"105 lee port suite 092
south james, nh 73275",Gwoodard@gmail.com
Universidad nacional de la pampa,Contador público ,08/12/2020,Jamie henderson,F,26/04/1982,3220,"492 kelly lodge apt. 965
velazquezside, ne 39580",Coxtanner@yahoo.com
Universidad nacional de la pampa,Licenciatura en ciencias de la educación ,13/09/2020,Mrs. lisa blair phd,F,11/10/1995,3085,"84331 marshall view suite 688
carolynview, hi 20024",Rjoyce@gmail.com
Universidad nacional de la pampa,Licenciatura en sociología ,18/11/2020,Steven hill,M,02/12/2012,2405,"4293 palmer tunnel apt. 874
jennifermouth, hi 44876",Littleronald@gmail.com
Universidad nacional de la pampa,Licenciatura en musicoterapia,19/10/2020,Michelle beasley,F,27/02/1938,3072,"Unit 9438 box 6084
dpo ae 88131",Leoncindy@gmail.com
Universidad nacional de la pampa,Arquitectura,12/11/2020,Shaun dunn,M,06/11/1907,5759,"Unit 6110 box 6491
dpo ae 59550",Ydavis@hotmail.com
Universidad nacional de la pampa,Licenciatura en ciencia política ,24/01/2021,Jamie martin,F,20/09/2012,6333,"8627 michael burgs
javierborough, mo 56846",Anthony25@gmail.com
Universidad nacional de la pampa,Licenciatura en ciencias geológicas,09/12/2020,Logan clements,M,27/04/1937,9410,"394 cindy keys apt. 402
billborough, nd 19123",Beardpatrick@yahoo.com
Universidad nacional de la pampa,Ingeniería mecánica,17/01/2021,Carol myers,F,05/04/2002,2747,"76836 brewer groves suite 185
gardnermouth, dc 61948",Brownjason@yahoo.com
Universidad nacional de la pampa,Ingeniería electrónica,27/10/2020,Shannon wilson,F,20/11/1923,6303,"8874 emily burg apt. 194
lake alyssa, ca 93621",Darlene98@gmail.com
Universidad nacional de la pampa,Licenciatura en kinesiología y fisiatría,10/10/2020,Chris bennett,M,17/03/1930,3122,"723 kim terrace
new joshuaside, sd 94613",Hlewis@yahoo.com
Universidad nacional de la pampa,Licenciatura en producción de bioimagenes,28/11/2020,Ethan lewis,M,08/12/1911,3374,"70412 gomez squares apt. 534
east erinchester, ky 96386",Eric54@gmail.com
Universidad nacional de la pampa,Diseño industrial,25/01/2021,Mr. william snow,M,27/03/2006,5501,"36822 hudson grove suite 542
tinaton, al 35270",Ajones@hotmail.com
Universidad nacional de la pampa,Licenciatura en ciencias ambientales,10/12/2020,Anna steele dvm,F,19/05/1954,6309,"9736 ball isle
port connor, wv 20549",Micheal44@yahoo.com
