university,career,inscription_date,name,gender,age,postal_code,location,email
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,02-10-2020,PHILIP-CORTEZ,M,20-12-1922,"711-SMITH-SUMMIT
NORTH-JOHNBURGH,-SD-52885",BELLA-VISTA,ASHLEY17@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,30-11-2020,TIMOTHY-OLSON,M,24-08-1916,"614-CONTRERAS-PINES
NORTH-SARAH,-WV-53367",BARKER,CONNIE29@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-ELECTRÓNICA,14-04-2020,JORDAN-POOLE,M,29-08-1969,"3629-BEVERLY-VILLE
PORT-RUTHBURY,-OR-93636",CAMPO-PALETTA,LUKEGARCIA@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PLANIFICACIÓN-Y-DISEÑO-DEL-PAISAJE,08-08-2020,ASHLEY-YU,F,22-07-1981,"723-TROY-RUE-SUITE-248
HUGHESBERG,-ME-16223",LA-TRANCA,JOSHUA78@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,15-02-2020,MRS.-CYNTHIA-WEEKS,F,01-01-1967,"9726-MOORE-ISLAND
AUSTINPORT,-NC-59174",EL-RINCON,WKELLY@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,16-01-2020,JESSICA-BAKER,F,20-06-1910,"601-MARY-SQUARES
NEW-JENNIFERMOUTH,-AZ-99784",COLONIA-CUNCI,WWILLIAMS@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,FARMACIA,16-10-2020,MELISSA-HENDRIX,F,16-12-2012,"2922-TIFFANY-CURVE
GONZALEZVIEW,-MD-47608",ARROYO-DEL-MEDIO,CHELSEAWHITE@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,TÉCNICO-PARA-BIOTERIOS-,12-01-2020,KAYLA-NELSON,F,17-12-1929,"USCGC-PAGE
FPO-AP-84689",DESVIO-KILOMETRO-55,EVEGA@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-MECÁNICA,01-12-2020,DANIELLE-WATSON,F,02-09-1965,"3747-CARTER-LOAF-SUITE-691
NORTH-ROBERT,-AR-63571",ACEVEDO,RUSSELLGINA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,14-01-2020,RACHEL-JACKSON,F,06-02-1950,"0328-MENDOZA-MILLS
NORTH-BRYANSTAD,-AR-68863",ARROYO-CASCO,STEPHANIEROBERTSON@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ARTES,13-02-2020,MARIAH-JONES,F,11-08-1997,"2609-BURTON-PASS
EAST-COREY,-DE-85172",ESMERALDA,HUBBARDJOHN@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,22-10-2020,GEORGE-NEWMAN,M,16-12-2013,"7507-STEPHEN-CORNER
NORTH-MARK,-NY-65680",ABRALAITE,LSMITH@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,25-08-2020,JESSICA-YOUNG,F,28-07-1919,"05556-KELLY-MOTORWAY
EMILYVIEW,-NH-35088",BERRAONDO,BISHOPTHOMAS@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PSICOLOGÍA,16-11-2020,KELLY-BARNETT,F,13-12-1951,"713-AMY-RAPIDS-SUITE-839
MELANIEBERG,-MS-66336",ALDAO,ROBERTHOLMES@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-AMBIENTALES,20-07-2020,RANDALL-PITTS,M,21-04-1924,"89715-JUAN-SPRINGS
CHERYLTON,-AK-13844",ALDO-BONZI,LISAJENKINS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ARQUITECTURA,03-03-2020,TODD-CARLSON,M,13-04-1923,"91710-AARON-CORNER-SUITE-404
MAURICEBURGH,-NV-52016",BALSA-SENILLOSA,CYNTHIAYU@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CONTADOR-PÚBLICO-,14-01-2020,LISA-JACKSON,F,25-10-1988,"0793-MATTHEW-RIDGE-SUITE-999
HUNTMOUTH,-ID-82312",ARENALES,FRANCISDAKOTA@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CIENCIAS-VETERINARIAS,14-12-2020,MARIAH-THOMAS,F,10-06-1937,"344-PHILLIP-HILLS-SUITE-006
DANIELFURT,-MA-25055",BOEUF,CALEXANDER@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-EN-INFORMÁTICA,26-03-2020,JOHN-MOORE,M,01-01-1942,"37983-FOX-HARBOR-SUITE-764
WEST-MICHAELVILLE,-CO-49644",ANILLACO,HUNTTIMOTHY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,20-02-2020,RICHARD-LINDSEY,M,30-01-2005,"145-ADAM-BROOKS
NEW-STEPHENBERG,-MS-00641",COLMAN,SOTOSTEVEN@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,AGRONOMÍA,02-04-2020,PATRICK-GONZALES,M,22-11-1928,"7895-WENDY-RADIAL
LAKE-MEGHANCHESTER,-TX-19313",VIRREY-DEL-PINO,CARRIE99@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,03-02-2020,MICHELLE-ARIAS,F,16-10-1952,"148-ROBERT-SQUARES
EAST-JANICE,-IA-36280",ADOLFO-ALSINA,KWALKER@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-INDUSTRIAL,12-11-2020,MARIA-RANDOLPH,F,18-08-1974,"126-JAMES-COMMON
LAKE-BRITTNEY,-UT-54397",ALEJANDRO-KORN,KARLDAVIS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-ELECTRÓNICA,18-04-2020,ERIK-BERRY,M,04-04-1927,"51984-GOULD-LOCKS
LAKE-KYLE,-WI-64272",ALAGON,MILLERMARGARET@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,15-12-2020,TINA-THOMAS,F,27-02-2012,"407-DENISE-CAMP-APT.-903
LAKE-KEVINBURGH,-KS-03346",GRACIARENA,MFLOWERS@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ARQUITECTURA,01-10-2020,MRS.-KELLI-MASSEY,F,01-01-1983,"4605-MCLAUGHLIN-GROVES-APT.-186
TONYAFORT,-IN-28993",25-DE-MAYO,GOODERICA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ADMINISTRACIÓN-,15-04-2020,MICHAEL-HARRIS,M,04-04-2014,"47945-OLSON-CLIFFS
SOUTH-CASEYPORT,-MN-71125",ALTO-LAS-LECHUZAS,KPRICE@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,BIOQUÍMICA,23-02-2020,KIMBERLY-OLSON,F,28-09-1975,"59492-BUTLER-TRACE-APT.-725
EAST-CHRISTINE,-HI-79256",CACHARI,BRYANTDONNA@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,09-02-2020,ROBERT-PARKS,M,08-11-1980,"3079-COOK-VILLE-SUITE-081
BISHOPMOUTH,-VT-67515",ALTO-EL-PUESTO,RHONDAGARCIA@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,15-07-2020,ROBIN-CARTER,F,20-07-1921,"891-WILLIS-CAMP-SUITE-162
PORT-AMY,-NY-79572",AGOTE,MOLLYBERG@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-INDUSTRIAL,28-11-2020,JOHNNY-HOPKINS,M,16-07-1984,"3409-HAWKINS-POINT-SUITE-773
PORT-DAVID,-HI-27761",CHANCAY,JOSEMORRIS@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-MUSICOTERAPIA,13-02-2020,MICHAEL-ZHANG,M,27-11-1957,"989-PAMELA-GROVE-APT.-467
SOUTH-SHERRYPORT,-MA-69309",CAIMANCITO,WALLACEGINA@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-SOCIOLOGÍA-,28-02-2020,CHRISTOPHER-QUINN,M,05-03-1968,"01799-CARROLL-FALLS
JOHNSONCHESTER,-SD-77266",20-DE-FEBRERO,WYATTMARY@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,07-12-2020,TIMOTHY-WILSON,M,08-01-1951,"998-BARRY-PRAIRIE
REEDTON,-FL-64212",7-DE-ABRIL,GARDNERKURT@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,05-04-2020,JOSHUA-HOFFMAN,M,02-12-2014,"PSC-6881,-BOX-9415
APO-AP-15646",ALMACEN-CASTRO,LAURA54@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,02-10-2020,MONICA-SKINNER,F,11-05-1956,"38145-GLENN-CENTERS
HARVEYSHIRE,-OK-33794",ALTO-CON-ZAMPA,MEYERANTHONY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,16-06-2020,SEAN-MOORE,M,03-12-1985,"27804-DAY-BURG-SUITE-309
LAKE-KELLY,-OK-45711",BARRIO-BELGRANO,LISA27@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,02-04-2020,RICHARD-BROWN,M,09-07-2006,"131-MUELLER-FORGES
EAST-JULIEBERG,-SD-37408",AGUADITA,RICHARD60@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,BIOQUÍMICA,27-07-2020,STEVE-FULLER,M,04-11-2003,"71124-PARKER-CURVE-SUITE-865
REEDPORT,-VT-55972",ANECON-GRANDE,MUNOZHANNAH@YAHOO.COM
