,university,career,inscription_date,name,gender,age,location,email
0,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,27-05-2020,DANIELLE-GONZALEZ,F,07-07-2005,COLONIA-BARGA,MEADOWSSTEPHANIE@GMAIL.COM
1,UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,02-07-2020,MARY-YANG,F,29-08-1985,ARBOL-SOLO,LAURA01@HOTMAIL.COM
2,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,31-12-2020,STACEY-MEDINA,F,07-04-1959,ALDEA-BELEIRO,SARAHPHAM@YAHOO.COM
3,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,29-10-2020,KATHRYN-NICHOLS,F,22-12-2008,COLONIA-BARGA,CHRISTOPHERANDERSON@YAHOO.COM
4,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,10-05-2020,BOB-SIMPSON,M,20-02-1976,BERMUDEZ,CPARKER@GMAIL.COM
5,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,01-01-2021,ERIC-KANE,M,24-02-2009,SAN-JUSTO,JAMES27@YAHOO.COM
6,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,17-01-2020,DEBRA-LAMBERT,F,25-02-1951,ADAN-QUIROGA,JOHN49@YAHOO.COM
7,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,05-06-2020,MARK-BASS,M,27-08-1955,CHAPUY,ROBERT74@HOTMAIL.COM
8,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-SOCIOLOGÍA-,24-07-2020,SAVANNAH-BAILEY-MD,F,10-06-2013,BAHIA-SAN-BLAS,ERINWRIGHT@GMAIL.COM
9,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,28-06-2020,DOMINIQUE-ALLEN-DDS,F,28-10-1957,VILLA-RAFFO,MARTINHOLT@HOTMAIL.COM
10,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,13-07-2020,CATHY-JENSEN,F,27-09-1963,SAN-FERNANDO,FMENDEZ@YAHOO.COM
11,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,20-03-2020,DANIEL-GRANT,M,09-05-2010,RAWSON,THOMASCOURTNEY@GMAIL.COM
12,UNIVERSIDAD-DEL-CINE,ARQUITECTURA,18-05-2020,MICHAEL-SHANNON,M,08-07-1942,ARROYO-QUILLEN,SMITHANGELA@YAHOO.COM
13,UNIVERSIDAD-DEL-CINE,ARQUITECTURA,16-03-2020,JOHN-FISHER,M,26-06-1989,ARANGUREN,TREVORWOODS@YAHOO.COM
14,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,18-04-2020,JOHN-NELSON,M,07-02-1982,CAMPO-BOTTO,ANNMARTIN@HOTMAIL.COM
15,UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,17-09-2020,JERRY-BEASLEY,M,30-05-1990,BOQUERON,BROWNMICHAEL@GMAIL.COM
16,UNIVERSIDAD-DEL-CINE,INGENIERÍA-EN-INFORMÁTICA,03-05-2020,RYAN-COLLINS,M,14-12-1933,CHILECITO,STACEY53@HOTMAIL.COM
17,UNIVERSIDAD-DEL-CINE,INGENIERÍA-ELECTRÓNICA,31-03-2020,GAIL-GIBSON,F,07-01-1988,COLONIA-BOMBAL-Y-TABANERA,WHEELERPAMELA@HOTMAIL.COM
18,UNIVERSIDAD-DEL-CINE,ARQUITECTURA,29-10-2020,DARRELL-CHAPMAN,M,12-07-1960,AGUA-RICA,CTHOMAS@HOTMAIL.COM
19,UNIVERSIDAD-DEL-CINE,ACTUARIO-,15-03-2020,JONATHAN-REEVES,M,25-01-1983,9-DE-JULIO,KRISTA39@GMAIL.COM
20,UNIVERSIDAD-DEL-CINE,FARMACIA,05-02-2020,MELISSA-LEE,F,21-09-1984,AGUIRRE-CUE,ASHLEYSTONE@GMAIL.COM
21,UNIVERSIDAD-DEL-CINE,DISEÑO-INDUSTRIAL,01-07-2020,DR.-KIMBERLY-MEYER,F,11-08-1946,ARROYITO,CURTIS72@HOTMAIL.COM
22,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,23-07-2020,KATHRYN-HUNT,F,02-02-1948,BARRO-NEGRO,SUSAN03@YAHOO.COM
23,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,13-11-2020,KIMBERLY-MOORE,F,19-04-1977,ABRA-GUAZU,NHILL@HOTMAIL.COM
24,UNIVERSIDAD-DEL-CINE,AGRONOMÍA,24-06-2020,MRS.-ELIZABETH-WILLIS,F,21-06-1974,LA-PORTEÑA,JAYWERNER@GMAIL.COM
25,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,09-12-2020,CHAD-NELSON,M,22-02-1976,ANTA,BENJAMIN04@YAHOO.COM
26,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,16-02-2020,CYNTHIA-KING,F,24-05-1943,COLONIA-LOS-TRES-USARIS,RPATEL@HOTMAIL.COM
27,UNIVERSIDAD-DEL-CINE,FARMACIA,17-05-2020,ANNA-BULLOCK,F,31-12-1926,8-DE-DICIEMBRE,ADAMWRIGHT@GMAIL.COM
28,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,05-04-2020,RANDALL-STEWART,M,05-06-1928,MORON,SSTANTON@HOTMAIL.COM
29,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,16-12-2020,JESSICA-MARKS,F,27-09-1971,COLONIA-CAMPO-PIAGGIO,JEFFREY47@GMAIL.COM
30,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,12-09-2020,DANIELLE-JOHNSON,F,28-12-1936,DIAMANTE,NUNEZTRACY@YAHOO.COM
31,UNIVERSIDAD-DEL-CINE,INGENIERÍA-MECÁNICA,05-08-2020,ANNA-PHELPS,F,26-02-1910,KILOMETRO-23,HUGHESCOURTNEY@YAHOO.COM
32,UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,26-07-2020,NATASHA-ROBBINS,F,01-12-2000,GENERAL-HORNOS,SMITHJESSICA@YAHOO.COM
33,UNIVERSIDAD-DEL-CINE,ACTUARIO-,26-11-2020,PAMELA-LANE,F,09-11-1987,EMPALME-VILLA-CONSTITUCION,LOPEZASHLEY@YAHOO.COM
34,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,28-06-2020,ANTONIO-BARRETT,M,16-06-1926,IGARZABAL,LEWISTROY@HOTMAIL.COM
35,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,02-11-2020,APRIL-MARSHALL,F,22-10-1997,DESVIO-BOERO,XLYNCH@YAHOO.COM
36,UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,03-06-2020,DONALD-MILLER,M,01-06-1928,LUIS-CHICO,STEPHANIE10@HOTMAIL.COM
37,UNIVERSIDAD-DEL-CINE,CIENCIAS-VETERINARIAS,04-09-2020,KATHLEEN-DEAN,F,27-05-1969,KILOMETRO-77,WMORRIS@GMAIL.COM
38,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,12-03-2020,AMANDA-WILSON,F,20-01-1947,AGUA-COLORADA,MOODYANGELA@HOTMAIL.COM
39,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,14-09-2020,MATTHEW-FINLEY,M,05-04-1960,AGUARA-CUA,BRIANPARKER@HOTMAIL.COM
40,UNIVERSIDAD-DEL-CINE,BIOQUÍMICA,02-08-2020,TIFFANY-JONES,F,03-01-2008,ATREUCO,TODD30@HOTMAIL.COM
41,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PSICOLOGÍA,02-02-2020,JOHN-SMITH,M,24-09-1930,LAS-PERLAS,SUZANNE28@HOTMAIL.COM
42,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-Y-TECNOLOGÍA-DE-ALIMENTOS,19-07-2020,JOHN-WALKER,M,21-08-2020,AVENIDA-EJERCITO-PARANA,SUSANRICE@GMAIL.COM
43,UNIVERSIDAD-DEL-CINE,TÉCNICO-PARA-BIOTERIOS-,12-10-2020,DARIN-LONG,M,25-05-2011,BENITO-JUAREZ,BURNSSTEVEN@HOTMAIL.COM
44,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-BIOLÓGICAS,29-06-2020,REBECCA-JOHNSON,F,24-06-2010,ESTANCIA-SANTA-CATALINA,MARCUSPETERSON@YAHOO.COM
45,UNIVERSIDAD-DEL-CINE,AGRONOMÍA,23-08-2020,LEAH-DOUGHERTY,F,30-04-1908,ALAMOS,BWHITE@GMAIL.COM
46,UNIVERSIDAD-DEL-CINE,ACTUARIO-,18-08-2020,DR.-DOUGLAS-LE,M,21-09-2011,COLONIA-EL-POTRERO,HEATHERLEVY@YAHOO.COM
47,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,10-06-2020,STEPHEN-BECK,M,15-06-2021,ALCETE,MITCHELLLISA@GMAIL.COM
48,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,10-04-2020,MEGAN-HERNANDEZ,F,19-10-2017,ISLA-VICTORIA,CHERNANDEZ@HOTMAIL.COM
49,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,03-04-2020,RACHEL-PARKER,F,12-03-1911,BAÑADO-SAN-ANTONIO,ELIZABETHOBRIEN@GMAIL.COM
50,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,03-09-2020,MATTHEW-ANDERSON,M,17-07-1909,CALERA-LA-NORMA,KAREN35@YAHOO.COM
51,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,26-10-2020,DAVID-BURNS,M,13-07-1961,ESTACION-CHRISTOPHERSEN,ELIZABETH62@HOTMAIL.COM
52,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-MUSICOTERAPIA,15-02-2020,SARA-BARNETT,F,21-10-2020,VILLA-SABOYA,YBUTLER@HOTMAIL.COM
53,UNIVERSIDAD-DEL-CINE,ARQUITECTURA,24-06-2020,ISABEL-HARRISON,F,27-07-1919,BERDUC,THOMAS32@YAHOO.COM
54,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIA-POLÍTICA-,13-05-2020,KEVIN-MURPHY,M,02-10-1955,AMBROSETTI,CATHY39@GMAIL.COM
55,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-ADMINISTRACIÓN-,31-07-2020,MEGAN-COLE,F,15-02-1954,ARROYITO,SANCHEZNICOLE@GMAIL.COM
56,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,15-08-2020,CHRISTINE-CHRISTENSEN,F,27-07-2008,4-DE-NOVIEMBRE,VPETERS@GMAIL.COM
57,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,12-06-2020,HENRY-HICKS,M,01-04-1997,ARROYO-DEL-REY,RIOSTIMOTHY@YAHOO.COM
58,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,12-07-2020,WILLIAM-RICHARDS,M,20-12-1970,CAICHUE,NYODER@HOTMAIL.COM
59,UNIVERSIDAD-DEL-CINE,CONTADOR-PÚBLICO-,07-10-2020,AUSTIN-HENSLEY,M,28-04-1955,22-DE-DICIEMBRE,XDELGADO@HOTMAIL.COM
60,UNIVERSIDAD-DEL-CINE,DISEÑO-DE-IMAGEN-Y-SONIDO,09-08-2020,WALTER-GALLOWAY,M,25-08-1907,FLAMENCO,STUART97@HOTMAIL.COM
61,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,11-08-2020,JAMES-LIN,M,12-03-1915,MUÑIZ,DENISE47@YAHOO.COM
62,UNIVERSIDAD-DEL-CINE,ACTUARIO-,01-04-2020,SARAH-KNAPP,F,08-11-2010,AGUA-COLORADA,TJOHNSON@YAHOO.COM
63,UNIVERSIDAD-DEL-CINE,AGRONOMÍA,01-02-2020,MRS.-TERESA-FLOYD,F,27-10-1951,ACHALCO,ERICKEITH@GMAIL.COM
64,UNIVERSIDAD-DEL-CINE,FARMACIA,31-03-2020,BRANDI-WARNER,F,25-02-1982,COLONIA-DURAN,DAVID96@HOTMAIL.COM
65,UNIVERSIDAD-DEL-CINE,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,28-12-2020,CHARLES-HERNANDEZ,M,02-02-1929,APARICIO,WCOLEMAN@HOTMAIL.COM
