,university,career,inscription_date,name,gender,age,postal_code,email
0,universidad-de-buenos-aires,actuario-,20-Sep-24,amy-wallace,f,21-Mar-12,8431,brookejones@yahoo.com
1,universidad-de-buenos-aires,licenciatura-en-gestión-de-agroalimentos,20-Sep-27,angela-hudson,f,05-Feb-21,3151,cpatterson@yahoo.com
2,universidad-de-buenos-aires,medicina,20-Oct-18,jessica-sandoval,f,45-Sep-12,6601,melinda04@hotmail.com
3,universidad-de-buenos-aires,licenciatura-en-ciencias-antropológicas,20-Sep-20,david-cooper,m,29-Aug-01,6105,lukegutierrez@yahoo.com
4,universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-12,benjamin-nicholson,m,68-Jun-05,5345,bgonzalez@hotmail.com
5,universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Dec-04,douglas-boyer,m,13-May-09,3580,taylor62@yahoo.com
6,universidad-de-buenos-aires,licenciatura-en-ciencias-de-la-educación-,20-Sep-18,kenneth-wright,m,49-Aug-12,7172,butlermartha@gmail.com
7,universidad-de-buenos-aires,técnico-para-bioterios-,21-Jan-28,heather-bradford,f,17-Nov-02,6422,nicole86@yahoo.com
8,universidad-de-buenos-aires,ingeniería-electrónica,21-Jan-27,mary-smith,f,89-Sep-13,8113,margaret65@yahoo.com
9,universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Nov-04,pamela-delgado,f,88-Sep-17,5557,stefanie45@hotmail.com
10,universidad-de-buenos-aires,licenciatura-en-administración-,20-Nov-24,paul-myers,m,23-Nov-14,5407,ypayne@yahoo.com
11,universidad-de-buenos-aires,medicina,21-Jan-15,amy-hurst,f,80-Dec-29,4129,akeller@gmail.com
12,universidad-de-buenos-aires,medicina,20-Oct-24,jessica-davis,f,09-Dec-30,4124,barbaranash@gmail.com
13,universidad-de-buenos-aires,licenciatura-en-ciencias-geológicas,21-Jan-04,kimberly-banks,f,93-Aug-15,5591,timothyfoster@gmail.com
14,universidad-de-buenos-aires,licenciatura-en-terapia-ocupacional,20-Nov-02,stephanie-gates,f,44-Aug-17,6433,carlashepherd@yahoo.com
15,universidad-de-buenos-aires,licenciatura-en-kinesiología-y-fisiatría,20-Dec-16,daniel-harrell,m,58-Nov-10,8308,lvelasquez@gmail.com
16,universidad-de-buenos-aires,contador-público-,20-Nov-13,justin-gonzalez,m,74-Nov-04,5541,oconnorbrenda@yahoo.com
