university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
universidad de buenos aires	actuario	2024-09-20	amy	wallace	female	1	8431	el hoyo	brookejones@yahoo.com
universidad de buenos aires	licenciatura en gestión de agroalimentos	2027-09-20	angela	hudson	female	17	3151	antelo	cpatterson@yahoo.com
universidad de buenos aires	medicina	2018-10-20	jessica	sandoval	female	76	6601	altamira	melinda04@hotmail.com
universidad de buenos aires	licenciatura en ciencias antropológicas	2020-09-20	david	cooper	male	92	6105	cañada seca	lukegutierrez@yahoo.com
universidad de buenos aires	licenciatura en kinesiología y fisiatría	2012-12-20	benjamin	nicholson	male	53	5345	baños termales	bgonzalez@hotmail.com
universidad de buenos aires	licenciatura en terapia ocupacional	2004-12-20	douglas	boyer	male	8	3580	kilometro 408	taylor62@yahoo.com
universidad de buenos aires	licenciatura en ciencias de la educación	2018-09-20	kenneth	wright	male	72	7172	colonia ferrari	butlermartha@gmail.com
universidad de buenos aires	técnico para bioterios	2028-01-21	heather	bradford	female	4	6422	primera junta	nicole86@yahoo.com
universidad de buenos aires	ingeniería electrónica	2027-01-21	mary	smith	female	32	8113	baterias	margaret65@yahoo.com
universidad de buenos aires	licenciatura en kinesiología y fisiatría	2004-11-20	pamela	delgado	female	33	5557	caracoles	stefanie45@hotmail.com
universidad de buenos aires	licenciatura en administración	2024-11-20	paul	myers	male	98	5407	dique toma	ypayne@yahoo.com
universidad de buenos aires	medicina	2015-01-21	amy	hurst	female	41	4129	cañada	akeller@gmail.com
universidad de buenos aires	medicina	2024-10-20	jessica	davis	female	12	4124	abra el candado	barbaranash@gmail.com
universidad de buenos aires	licenciatura en ciencias geológicas	2004-01-21	kimberly	banks	female	28	5591	alpatacal	timothyfoster@gmail.com
universidad de buenos aires	licenciatura en terapia ocupacional	2002-11-20	stephanie	gates	female	77	6433	arturo vatteone	carlashepherd@yahoo.com
universidad de buenos aires	licenciatura en kinesiología y fisiatría	2016-12-20	daniel	harrell	male	63	8308	villa manzano	lvelasquez@gmail.com
universidad de buenos aires	contador público	2013-11-20	justin	gonzalez	male	47	5541	algarrobal abajo	oconnorbrenda@yahoo.com
universidad de buenos aires	ingeniería mecánica	2025-11-20	ethan	pierce	male	74	7161	labarden	reynoldsmegan@yahoo.com
universidad de buenos aires	medicina	2024-12-20	cody	robbins	male	11	6634	alberti	hjackson@hotmail.com
universidad de buenos aires	licenciatura en ciencia y tecnología de alimentos	2015-12-20	justin	lewis	male	47	3196	arroyo vega	gjensen@hotmail.com
universidad de buenos aires	licenciatura en artes	2011-12-20	chelsea	bond	female	25	1614	villa de mayo	quinnlonnie@gmail.com
