university,career,inscription_date,gender,age,location,email,first_name,last_name
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-28,male,84,general rodriguez,bmorgan@hotmail.com,jeffrey,nash
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-11-25,female,18,cabure,jonathon04@hotmail.com,melissa,reynolds
universidad tecnológica nacional,licenciatura en sociología,2021-01-17,male,86,mariano acosta,dmercado@yahoo.com,leonard,weber
universidad tecnológica nacional,arquitectura,2020-10-09,male,50,remedios de escalada,lisa01@hotmail.com,danny,brown
universidad tecnológica nacional,licenciatura en sociología,2020-11-05,male,82,agua salada,smithemma@gmail.com,william,williams
universidad tecnológica nacional,licenciatura en sociología,2020-10-08,female,45,colonia zapata,lhobbs@gmail.com,sierra,dean
universidad tecnológica nacional,ingeniería electrónica,2020-09-30,male,39,barrio la union,steven54@hotmail.com,jeffrey,martin
universidad tecnológica nacional,bioquímica,2020-11-05,male,66,bajo la cancha,michelle01@hotmail.com,michael,watkins
universidad tecnológica nacional,licenciatura en ciencia política,2020-12-04,male,14,puesto de isla,lynchalexis@gmail.com,douglas,hogan
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-09,female,18,otto bemberg,susanmatthews@hotmail.com,nicole,giles
universidad tecnológica nacional,técnico para bioterios,2020-10-03,female,113,el tala,robertburns@gmail.com,nicole,carr
universidad tecnológica nacional,ingeniería en informática,2021-01-11,female,91,puesto de isla,joshua77@yahoo.com,sandra,lucas
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-24,female,23,alto rio pico,jameswong@hotmail.com,nichole,lee
universidad tecnológica nacional,farmacia,2020-09-11,male,104,abra de hinojo,pauljamie@yahoo.com,hunter,murillo
universidad tecnológica nacional,bioquímica,2021-01-12,female,113,arroyo aleli,deleontara@hotmail.com,jennifer,allen
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-10-13,female,72,el jaguel,weaverroberto@yahoo.com,debra,dixon
universidad tecnológica nacional,bioquímica,2020-11-24,male,11,deferrari,tiffanyfisher@gmail.com,daniel,pacheco
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-03,male,91,barrio la luisa,joshua15@hotmail.com,lucas,villarreal
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,female,39,agua colorada,fwallace@hotmail.com,linda,bryant
universidad tecnológica nacional,arquitectura,2020-11-13,female,26,gomez,bankschristopher@yahoo.com,jennifer,ellis
universidad tecnológica nacional,licenciatura en administración,2020-09-15,male,83,chillar,beverlytucker@hotmail.com,jacob,gibson
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-10-04,female,100,el camoati,guerratracy@hotmail.com,krystal,sanders
universidad tecnológica nacional,licenciatura en sociología,2021-01-06,male,61,desvio boero,charlotte54@hotmail.com,david,harris
universidad tecnológica nacional,ciencias veterinarias,2020-09-26,male,33,17 de agosto,rebecca25@gmail.com,matthew,dunn
universidad tecnológica nacional,licenciatura en ciencia política,2020-09-09,male,13,2 de mayo,dcooper@gmail.com,thomas,hernandez
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-12-03,female,42,las quintas,wilsonerin@yahoo.com,deborah,mclaughlin
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-29,female,13,la colina,jamessilva@yahoo.com,alexandria,smith
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-12-29,female,4,empalme,qmclaughlin@hotmail.com,cassandra,mora
universidad tecnológica nacional,contador público,2020-09-21,female,63,alto nuestra señora del valle,greenhoward@hotmail.com,stacey,case
universidad tecnológica nacional,diseño industrial,2020-09-24,male,91,arroyo pareja,david84@hotmail.com,jason,roberts
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-23,female,57,apeadero quiroga,mosleydavid@hotmail.com,marie,schwartz
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-12-24,female,77,alianza,ellisanthony@gmail.com,julie,curtis
universidad tecnológica nacional,arquitectura,2020-12-24,female,17,cañadon chileno,nicolegolden@hotmail.com,chelsea,whitaker
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-12-08,female,18,empalme san carlos,martincharles@hotmail.com,julie,herrera
universidad tecnológica nacional,licenciatura en sociología,2020-09-02,male,42,barrio carosio,tyrone84@hotmail.com,ryan,bowen
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021-01-07,male,69,nonogasta,pattersonstephanie@yahoo.com,mark,hernandez
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-06,female,51,bajo de las palomas,hansondavid@gmail.com,jessica,richardson
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-12-24,male,116,calderon,kentbrandon@hotmail.com,cameron,lynch
universidad tecnológica nacional,licenciatura en administración,2020-09-09,female,38,agua blanca,monicabeasley@yahoo.com,emily,jones
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-10-06,male,6,paso de los andes,sgentry@gmail.com,julian,green
universidad tecnológica nacional,contador público,2020-09-24,male,70,colonia reina margarita,rebecca05@hotmail.com,dennis,hurst
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-16,female,84,leubuco,tina40@gmail.com,chelsea,white
universidad tecnológica nacional,arquitectura,2020-12-29,male,92,bosques,irodriguez@gmail.com,antonio,patel
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-11-17,male,104,cuenca,xhernandez@hotmail.com,tyler,reed
universidad tecnológica nacional,diseño de imagen y sonido,2020-10-21,female,81,dina huapi,vicki56@yahoo.com,emily,hall
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021-01-08,male,110,alejandro petion,loriford@yahoo.com,javier,cobb
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-08,female,38,pozo navagan,meltonstephen@hotmail.com,christina,porter
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-01,female,8,chañarcito,brianrobinson@hotmail.com,jessica,mccall
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-24,male,28,carbometal,taylor96@gmail.com,jared,larson
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-01,male,54,arroyo palmar,evanskatherine@yahoo.com,darren,lee
universidad tecnológica nacional,bioquímica,2020-10-28,male,24,colonia la oracion,karenmendoza@yahoo.com,jay,conway
universidad tecnológica nacional,contador público,2020-12-13,male,62,bajastine,agonzalez@yahoo.com,jon,gordon
universidad tecnológica nacional,técnico para bioterios,2020-10-03,male,107,encina,eryan@hotmail.com,anthony,johnson
universidad tecnológica nacional,licenciatura en psicología,2020-09-11,male,84,claudio c molina,trodriguez@hotmail.com,greg,wells
universidad tecnológica nacional,diseño de imagen y sonido,2020-09-29,male,95,campo medina,dnavarro@hotmail.com,aaron,vance
universidad tecnológica nacional,ingeniería en informática,2021-01-16,male,17,13 de enero,pstanton@hotmail.com,dale,martinez
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,male,31,colonia matilde,wsingh@hotmail.com,dale,huynh
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-25,male,93,el jumeal,tnichols@yahoo.com,timothy,norman
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-31,male,72,aguada de la peña,zking@hotmail.com,paul,evans
universidad tecnológica nacional,licenciatura en ciencia política,2020-09-05,male,38,coronel charlone,fwiggins@yahoo.com,christian,sanders
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-09,female,104,barlett,gailunderwood@yahoo.com,nicole,wells
universidad tecnológica nacional,licenciatura en sociología,2020-09-12,male,83,azul,andrewsnyder@hotmail.com,george,thompson
universidad tecnológica nacional,diseño de imagen y sonido,2020-11-26,male,74,los molinos,gtucker@yahoo.com,joseph,wall
universidad tecnológica nacional,contador público,2020-11-12,female,74,algarrobal abajo,brianduncan@hotmail.com,tiffany,molina
universidad tecnológica nacional,farmacia,2020-11-26,female,20,blanca grande,kray@gmail.com,julia,lopez
universidad tecnológica nacional,agronomía,2020-10-10,male,94,cailomuta,richardsonashley@gmail.com,benjamin,moore
universidad tecnológica nacional,diseño de imagen y sonido,2021-01-25,male,67,aero club canal,hendersonlinda@hotmail.com,steven,sexton
universidad tecnológica nacional,farmacia,2020-10-22,female,3,colonia sere,rioskevin@yahoo.com,margaret,johnson
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-10-27,male,53,azteazu,vegajuan@yahoo.com,john,smith
universidad tecnológica nacional,licenciatura en ciencia política,2020-11-11,male,39,carbometal,emilydonaldson@hotmail.com,paul,johnson
universidad tecnológica nacional,actuario,2021-01-02,female,22,cabaña el cisne,trevinokenneth@gmail.com,leah,williams
universidad tecnológica nacional,ingeniería mecánica,2020-10-25,male,15,ambrosio p lezica,john64@gmail.com,zachary,hurley
universidad tecnológica nacional,licenciatura en administración,2020-11-22,female,23,cazon,luis27@gmail.com,isabella,gibson
universidad tecnológica nacional,bioquímica,2020-09-06,male,43,dock sud,collin60@yahoo.com,mark,estrada
universidad tecnológica nacional,actuario,2020-10-01,male,50,longchamps,wdudley@gmail.com,hunter,buck
universidad tecnológica nacional,medicina,2021-01-12,female,77,el potrero,justin29@gmail.com,christine,huerta
universidad tecnológica nacional,diseño industrial,2020-12-18,female,76,casablanca,robert75@hotmail.com,felicia,bautista
