university,career,inscription_date,gender,age,postal_code,email,first_name,last_name
universidad de palermo,actuario,04/Dec/20,male,69,4139,yking@gmail.com,jonathan,zimmerman
universidad de palermo,licenciatura en producción de bioimagenes,26/Oct/20,femaleale,99,3229,bkent@gmail.com,kathy,collins
universidad de palermo,agronomía,24/Oct/20,male,2,6365,nancyho@hotmail.com,kevin,lee
universidad de palermo,licenciatura en sociología,23/Dec/20,male,8,9313,shannon83@gmail.com,mark,scott
universidad de palermo,licenciatura en planificación y diseño del paisaje,21/Oct/20,femaleale,41,6661,amber11@hotmail.com,dawn,taylor
universidad de palermo,contador público,22/Nov/20,femaleale,58,3355,baldwintimothy@yahoo.com,chelsea,evans
universidad de palermo,licenciatura en musicoterapia,01/Sep/20,male,1,4516,usummers@yahoo.com,michael,pitts
universidad de palermo,licenciatura en gestión de agroalimentos,26/Jan/21,male,27,3550,mariah31@hotmail.com,david,ramos
universidad de palermo,licenciatura en ciencia política,14/Jan/21,femaleale,53,3557,joel80@gmail.com,kaitlyn,potter
universidad de palermo,licenciatura en planificación y diseño del paisaje,25/Sep/20,male,40,5743,andrewvega@gmail.com,james,klein
universidad de palermo,bioquímica,14/Dec/20,male,5,7111,floresjoseph@yahoo.com,roy,bernard
universidad de palermo,licenciatura en producción de bioimagenes,12/Nov/20,male,41,1625,sharon90@gmail.com,christopher,ortega
universidad de palermo,actuario,20/Dec/20,femaleale,89,8364,longyvette@hotmail.com,leah,myers
universidad de palermo,licenciatura en ciencias de la educación,09/Jan/21,male,49,3412,mbradshaw@gmail.com,robert,swanson
universidad de palermo,agronomía,11/Sep/20,femaleale,30,5567,espinozahunter@hotmail.com,wendy,coleman
universidad de palermo,licenciatura en ciencia y tecnología de alimentos,29/Sep/20,male,9,6605,shenderson@hotmail.com,michael,williams
universidad de palermo,licenciatura en gestión de agroalimentos,24/Oct/20,male,4,3400,diana33@yahoo.com,wesley,parrish
universidad de palermo,arquitectura,28/Jan/21,femaleale,9,3443,aho@hotmail.com,nicole,thomas
universidad de palermo,ciencias veterinarias,23/Nov/20,femaleale,61,3123,phillipdaniels@hotmail.com,molly,garza
universidad de palermo,técnico para bioterios,11/Jan/21,femaleale,57,5607,jon54@hotmail.com,christina,cruz
universidad de palermo,licenciatura en ciencias antropológicas,17/Dec/20,male,21,6727,stantonanthony@hotmail.com,jeffery,hernandez
