university,career,inscription_date,gender,age,location,email,postal_code,first_name,last_name
universidad nacional de jujuy,licenciatura en musicoterapia,2020-11-27,femaleale,55,arroyo de la ventana,reeddonald@yahoo.com,8521,megan,lopez
universidad nacional de jujuy,diseño industrial,2020-11-01,male,11,aldecon,shawnhunt@gmail.com,7406,corey,alvarado
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-10-24,femaleale,77,campo yaguarete,daymatthew@gmail.com,3586,jessica,jordan
universidad nacional de jujuy,contador público,2020-11-23,femaleale,89,bajo la cancha,travissutton@yahoo.com,9031,heather,williams
universidad nacional de jujuy,diseño de imagen y sonido,2020-09-22,male,18,amuschina,jennifer87@hotmail.com,5329,jose,jones
universidad nacional de jujuy,diseño de imagen y sonido,2020-11-14,male,96,colonia jauregui,kellerkristopher@yahoo.com,5622,terry,shelton
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020-09-12,male,85,barrio garin norte,elizabeth47@hotmail.com,1623,brent,murray
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-11-10,femaleale,21,las hermanas,tammy58@hotmail.com,7412,rebecca,hart
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-09-29,male,111,anecon grande,tryan@hotmail.com,8416,joshua,henderson
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-12-07,male,101,campo moreno,harrisalbert@yahoo.com,3734,jack,shannon
universidad nacional de jujuy,diseño industrial,2020-12-09,femaleale,73,ingeniero allan,matthew92@gmail.com,1891,vanessa,martin
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2021-01-30,male,79,cañada,aaronlarsen@hotmail.com,5773,tyler,horne
universidad nacional de jujuy,ingeniería en informática,2021-01-07,male,63,villa angelica,cantuthomas@gmail.com,2000,robert,brown
universidad nacional de jujuy,agronomía,2021-01-11,male,98,barrio parque leloir,scurry@yahoo.com,1713,frank,obrien
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-12-18,femaleale,48,la porteña,bryantsydney@yahoo.com,7241,stacie,wilson
universidad nacional de jujuy,ingeniería electrónica,2020-09-19,male,102,acostilla,agilbert@gmail.com,4701,kyle,rose
universidad nacional de jujuy,licenciatura en ciencias de la educación,2020-12-18,femaleale,96,abramo,zachary43@hotmail.com,8212,jasmine,medina
universidad nacional de jujuy,diseño industrial,2020-12-05,femaleale,20,25 de mayo,rhampton@yahoo.com,8201,rebecca,padilla
