university,career,inscription_date,gender,age,postal_code,location,email,first_name,last_name
facultad latinoamericana de ciencias sociales,diseño de imagen y sonido,2020-10-02,male,99,"711-SMITH-SUMMIT
NORTH-JOHNBURGH,-SD-52885",bella vista,ashley17@gmail.com,philip,cortez
facultad latinoamericana de ciencias sociales,diseño de imagen y sonido,2020-11-30,male,105,"614-CONTRERAS-PINES
NORTH-SARAH,-WV-53367",barker,connie29@hotmail.com,timothy,olson
facultad latinoamericana de ciencias sociales,ingeniería electrónica,2020-04-14,male,52,"3629-BEVERLY-VILLE
PORT-RUTHBURY,-OR-93636",campo paletta,lukegarcia@yahoo.com,jordan,poole
facultad latinoamericana de ciencias sociales,licenciatura en planificación y diseño del paisaje,2020-08-08,female,40,"723-TROY-RUE-SUITE-248
HUGHESBERG,-ME-16223",la tranca,joshua78@gmail.com,ashley,yu
facultad latinoamericana de ciencias sociales,licenciatura en ciencias antropológicas,2020-02-15,female,55,"9726-MOORE-ISLAND
AUSTINPORT,-NC-59174",el rincon,wkelly@gmail.com,cynthia,weeks
facultad latinoamericana de ciencias sociales,licenciatura en ciencia y tecnología de alimentos,2020-01-16,female,111,"601-MARY-SQUARES
NEW-JENNIFERMOUTH,-AZ-99784",colonia cunci,wwilliams@gmail.com,jessica,baker
facultad latinoamericana de ciencias sociales,farmacia,2020-10-16,female,9,"2922-TIFFANY-CURVE
GONZALEZVIEW,-MD-47608",arroyo del medio,chelseawhite@hotmail.com,melissa,hendrix
facultad latinoamericana de ciencias sociales,técnico para bioterios,2020-01-12,female,92,"USCGC-PAGE
FPO-AP-84689",desvio kilometro 55,evega@hotmail.com,kayla,nelson
facultad latinoamericana de ciencias sociales,ingeniería mecánica,2020-12-01,female,56,"3747-CARTER-LOAF-SUITE-691
NORTH-ROBERT,-AR-63571",acevedo,russellgina@gmail.com,danielle,watson
facultad latinoamericana de ciencias sociales,licenciatura en gestión de agroalimentos,2020-01-14,female,72,"0328-MENDOZA-MILLS
NORTH-BRYANSTAD,-AR-68863",arroyo casco,stephanierobertson@gmail.com,rachel,jackson
facultad latinoamericana de ciencias sociales,licenciatura en artes,2020-02-13,female,24,"2609-BURTON-PASS
EAST-COREY,-DE-85172",esmeralda,hubbardjohn@gmail.com,mariah,jones
facultad latinoamericana de ciencias sociales,licenciatura en ciencias de la computación,2020-10-22,male,8,"7507-STEPHEN-CORNER
NORTH-MARK,-NY-65680",abralaite,lsmith@gmail.com,george,newman
facultad latinoamericana de ciencias sociales,licenciatura en relaciones del trabajo,2020-08-25,female,102,"05556-KELLY-MOTORWAY
EMILYVIEW,-NH-35088",berraondo,bishopthomas@yahoo.com,jessica,young
facultad latinoamericana de ciencias sociales,licenciatura en psicología,2020-11-16,female,70,"713-AMY-RAPIDS-SUITE-839
MELANIEBERG,-MS-66336",aldao,robertholmes@hotmail.com,kelly,barnett
